#: ABS(ETA)			0.0-0.6				
#: SQRT(S)/NUCLEON [GeV]			#2760				
#centrality	centrality LOW	centrality HIGH	$E_{T}$	stat +	stat -	sys,total +	sys,total -
1.25	0	2.5	1803	10	-10	109	-109
3.75	2.5	5	1647	9	-9	99	-99
6.25	5	7.5	1499	8	-8	90	-90
8.75	7.5	10	1357	8	-8	82	-82
11.25	10	12.5	1235	7	-7	74	-74
13.75	12.5	15	1118	6	-6	67	-67
16.25	15	17.5	1033	5	-5	62	-62
18.75	17.5	20	942	5	-5	57	-57
21.25	20	22.5	847	5	-5	51	-51
23.75	22.5	25	773	4	-4	47	-47
26.25	25	27.5	683	4	-4	41	-41
28.75	27.5	30	602	4	-4	36	-36
31.25	30	32.5	544	3	-3	33	-33
33.75	32.5	35	494	3	-3	30	-30
36.25	35	37.5	435	3	-3	26	-26
38.75	37.5	40	385	2	-2	24	-24
42.5	40	45	322	1	-1	20	-20
47.5	45	50	246	1	-1	15	-15
52.5	50	55	180	1	-1	11	-11
57.5	55	60	133.2	0.6	-0.6	8.5	-8.5
62.5	60	65	93.7	0.5	-0.5	6.1	-6.1
67.5	65	70	65.1	0.4	-0.4	4.4	-4.4
72.5	70	75	43.6	0.3	-0.3	3	-3
77.5	75	80	28.4	0.2	-0.2	2	-2

