#: table_doi: 10.17182/hepdata.62783.v1/t52					
#: name: Table 52					
#: description: .				
#: data_file: Table52.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V2					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	0.0-5.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V2	PROB(V2)	stat +	stat -	sys +	sys -
0.001	2.0301	0.0206	-0.0206	0.1157	-0.1157
0.003	5.8173	0.0401	-0.0401	0.2967	-0.2967
0.005	9.5433	0.0604	-0.0604	0.4294	-0.4294
0.007	12.9292	0.0685	-0.0685	0.5042	-0.5042
0.009	16.0562	0.0748	-0.0748	0.5299	-0.5299
0.011	18.5174	0.0635	-0.0635	0.5555	-0.5555
0.013	20.7306	0.0599	-0.0599	0.6219	-0.6219
0.015	22.4132	0.0629	-0.0629	0.6724	-0.6724
0.017	23.53	0.0563	-0.0563	0.7059	-0.7059
0.019	24.527	0.0568	-0.0568	0.7358	-0.7358
0.021	24.6199	0.0729	-0.0729	0.7509	-0.7509
0.023	24.5667	0.0875	-0.0875	0.7739	-0.7739
0.025	24.1933	0.085	-0.085	0.7863	-0.7863
0.027	23.5691	0.0948	-0.0948	0.7896	-0.7896
0.029	22.7239	0.0811	-0.0811	0.784	-0.784
0.031	21.6851	0.0794	-0.0794	0.7698	-0.7698
0.033	20.5511	0.0743	-0.0743	0.7501	-0.7501
0.035	19.2704	0.0716	-0.0716	0.7226	-0.7226
0.037	18.1639	0.0652	-0.0652	0.6993	-0.6993
0.039	16.6308	0.0613	-0.0613	0.6569	-0.6569
0.041	15.3074	0.0629	-0.0629	0.6123	-0.6123
0.043	13.9583	0.0631	-0.0631	0.5583	-0.5583
0.045	12.757	0.0643	-0.0643	0.5103	-0.5103
0.047	11.4933	0.0656	-0.0656	0.4597	-0.4597
0.049	10.3801	0.0624	-0.0624	0.4152	-0.4152
0.051	9.2704	0.0597	-0.0597	0.3801	-0.3801
0.053	8.1875	0.0528	-0.0528	0.3521	-0.3521
0.055	7.0877	0.0512	-0.0512	0.3189	-0.3189
0.057	6.1835	0.0497	-0.0497	0.2906	-0.2906
0.059	5.4595	0.053	-0.053	0.2675	-0.2675
0.061	4.698	0.0501	-0.0501	0.249	-0.249
0.063	3.8911	0.045	-0.045	0.2296	-0.2296
0.065	3.2955	0.0481	-0.0481	0.2142	-0.2142
0.067	2.7756	0.0455	-0.0455	0.1971	-0.1971
0.069	2.3476	0.0437	-0.0437	0.1808	-0.1808
0.071	1.9897	0.0439	-0.0439	0.1831	-0.1831
0.073	1.6944	0.0422	-0.0422	0.1965	-0.1965
0.075	1.3717	0.0398	-0.0398	0.192	-0.192
0.077	1.1252	0.0398	-0.0398	0.1845	-0.1845
0.079	0.9172	0.0374	-0.0374	0.1724	-0.1724
0.081	0.7473	0.0452	-0.0452	0.1532	-0.1495
0.084	0.5415	0.0257	-0.0257	0.1191	-0.1083
0.088	0.3096	0.0205	-0.0205	0.0743	-0.0619
0.092	0.1918	0.0217	-0.0217	0.0499	-0.0384
0.096	0.102	0.0157	-0.0157	0.0286	-0.0204
0.1	0.0673	0.0156	-0.0156	0.0202	-0.0135

