#: table_doi: 10.17182/hepdata.62783.v1/t88					
#: name: Table 88					
#: description: .					
#: data_file: Table88.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V2					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	20.0-25.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V2	PROB(V2)	stat +	stat -	sys +	sys -
0.004	0.1396	0.0043	-0.0043	0.0117	-0.0117
0.0119	0.4543	0.0086	-0.0086	0.0254	-0.0254
0.0199	0.8843	0.0114	-0.0114	0.0354	-0.0354
0.0279	1.4561	0.0134	-0.0134	0.0466	-0.0466
0.0358	2.2996	0.016	-0.016	0.0675	-0.0675
0.0438	3.4501	0.0206	-0.0206	0.0981	-0.0981
0.0518	4.7409	0.0227	-0.0227	0.1306	-0.1306
0.0597	6.2473	0.0241	-0.0241	0.1666	-0.1666
0.0677	7.8973	0.0262	-0.0262	0.2036	-0.2036
0.0757	9.464	0.0277	-0.0277	0.2355	-0.2355
0.0836	10.7785	0.0293	-0.0293	0.2587	-0.2587
0.0916	11.6046	0.0296	-0.0296	0.2682	-0.2682
0.0996	11.8612	0.0296	-0.0296	0.2636	-0.2636
0.1075	11.4698	0.0297	-0.0297	0.2447	-0.2447
0.1155	10.3253	0.0302	-0.0302	0.2111	-0.2111
0.1235	8.968	0.0289	-0.0289	0.1973	-0.1973
0.1314	7.3163	0.0276	-0.0276	0.1902	-0.1902
0.1394	5.6882	0.0258	-0.0258	0.1706	-0.1706
0.1473	4.11	0.0236	-0.0236	0.1891	-0.1891
0.1553	2.724	0.0212	-0.0212	0.1525	-0.1525
0.1633	1.689	0.0196	-0.0196	0.1081	-0.1081
0.1712	0.967	0.0161	-0.0161	0.0696	-0.0696
0.1792	0.5206	0.0134	-0.0134	0.0416	-0.0416
0.1872	0.2637	0.0112	-0.0112	0.0548	-0.0338
0.1951	0.1324	0.0096	-0.0096	0.0445	-0.0233
0.2031	0.0575	0.0068	-0.0068	0.0314	-0.013
0.2111	0.0168	0.0038	-0.0038	0.0141	-0.0047

