#: table_doi: 10.17182/hepdata.62783.v1/t124					
#: name: Table 124					
#: description: .					
					
#: data_file: Table124.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V2					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	40.0-45.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V2	PROB(V2)	stat +	stat -	sys +	sys -
0.004	0.1736	0.0045	-0.0045	0.0156	-0.0156
0.0119	0.5186	0.0084	-0.0084	0.0363	-0.0363
0.0199	0.8951	0.011	-0.011	0.0448	-0.0448
0.0279	1.3308	0.0129	-0.0129	0.063	-0.063
0.0358	1.8395	0.0135	-0.0135	0.0822	-0.0822
0.0438	2.3643	0.0143	-0.0143	0.0993	-0.0993
0.0518	2.9906	0.0171	-0.0171	0.1184	-0.1184
0.0597	3.6553	0.0195	-0.0195	0.1389	-0.1389
0.0677	4.4644	0.0212	-0.0212	0.1625	-0.1625
0.0757	5.2437	0.0226	-0.0226	0.1825	-0.1825
0.0836	5.9878	0.0222	-0.0222	0.1988	-0.1988
0.0916	6.7362	0.0232	-0.0232	0.2129	-0.2129
0.0996	7.417	0.0242	-0.0242	0.2225	-0.2225
0.1075	7.966	0.0249	-0.0249	0.2645	-0.2645
0.1155	8.3256	0.0256	-0.0256	0.3031	-0.3031
0.1234	8.4731	0.0268	-0.0268	0.3355	-0.3355
0.1314	8.496	0.0274	-0.0274	0.3636	-0.3636
0.1394	8.1785	0.0265	-0.0265	0.3762	-0.3762
0.1473	7.5861	0.0264	-0.0264	0.3732	-0.3732
0.1553	6.8815	0.0261	-0.0261	0.3441	-0.3441
0.1633	6.0292	0.0258	-0.0258	0.3015	-0.3015
0.1712	5.1943	0.0255	-0.0255	0.2701	-0.2632
0.1792	4.2174	0.025	-0.025	0.253	-0.2249
0.1872	3.2904	0.0237	-0.0237	0.2237	-0.1843
0.1951	2.593	0.0234	-0.0234	0.1971	-0.1521
0.2031	1.8202	0.0212	-0.0212	0.2257	-0.1238
0.211	1.2371	0.0194	-0.0194	0.2623	-0.1039
0.219	0.7815	0.0152	-0.0152	0.2345	-0.0782
0.227	0.4348	0.0123	-0.0123	0.1652	-0.0667
0.2349	0.2298	0.0093	-0.0093	0.1057	-0.0475
0.2429	0.1243	0.008	-0.008	0.0671	-0.0323
0.2509	0.0524	0.0051	-0.0051	0.0343	-0.0161
0.2588	0.0147	0.0019	-0.0019	0.0127	-0.0049
0.2668	0.0065	0.0017	-0.0017	0.0071	-0.0024

