#: table_doi: 10.17182/hepdata.62783.v1/t55					
#: name: Table 55					
#: description: .					
					
#: data_file: Table55.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V3					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	0.0-5.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V3	PROB(V3)	stat +	stat -	sys +	sys -
0.001	2.7287	0.0227	-0.0227	0.2056	-0.1055
0.003	8.146	0.0506	-0.0506	0.5376	-0.2933
0.005	13.3754	0.0735	-0.0735	0.7579	-0.4458
0.007	17.9457	0.0823	-0.0823	0.8494	-0.5503
0.009	21.9755	0.0811	-0.0811	0.8351	-0.6153
0.011	25.6835	0.0752	-0.0752	0.7363	-0.6506
0.013	28.2414	0.0734	-0.0734	0.546	-0.6401
0.015	30.2404	0.0642	-0.0642	0.3024	-0.6048
0.017	31.0161	0.071	-0.071	0.4342	-0.6203
0.019	31.4356	0.0844	-0.0844	0.5658	-0.6287
0.021	31.1229	0.0964	-0.0964	0.6536	-0.6536
0.023	30.0047	0.1053	-0.1053	0.6901	-0.6901
0.025	28.5115	0.0992	-0.0992	0.7128	-0.7128
0.027	26.7113	0.094	-0.094	0.7212	-0.7212
0.029	24.6213	0.0854	-0.0854	0.714	-0.714
0.031	22.4886	0.077	-0.077	0.7084	-0.6859
0.033	20.0506	0.0701	-0.0701	0.6917	-0.6316
0.035	17.6808	0.0685	-0.0685	0.663	-0.5746
0.037	15.3107	0.0632	-0.0632	0.6201	-0.5129
0.039	13.5126	0.066	-0.066	0.5878	-0.4662
0.041	11.3968	0.0643	-0.0643	0.53	-0.4046
0.043	9.535	0.0632	-0.0632	0.472	-0.348
0.045	8.0115	0.0536	-0.0536	0.4206	-0.3004
0.047	6.5368	0.0512	-0.0512	0.3628	-0.2517
0.049	5.3512	0.052	-0.052	0.313	-0.2114
0.051	4.2064	0.0447	-0.0447	0.2902	-0.1851
0.053	3.2865	0.0426	-0.0426	0.2859	-0.1709
0.055	2.6798	0.04	-0.04	0.2814	-0.1608
0.057	2.0768	0.0421	-0.0421	0.2554	-0.1412
0.059	1.569	0.0346	-0.0346	0.2212	-0.1192
0.061	1.1961	0.0339	-0.0339	0.1854	-0.11
0.063	0.7749	0.0287	-0.0287	0.1279	-0.0899
0.066	0.5413	0.0189	-0.0189	0.0974	-0.0823
0.07	0.2845	0.0158	-0.0158	0.0569	-0.0569
0.074	0.1335	0.0127	-0.0127	0.0427	-0.0374
0.078	0.0697	0.0109	-0.0109	0.0307	-0.0251
0.082	0.0477	0.0129	-0.0129	0.0239	-0.02
0.0861	0.0245	0.0088	-0.0088	0.0122	-0.0113

