#: table_doi: 10.17182/hepdata.62783.v1/t94					
#: name: Table 94					
#: description: .										
#: data_file: Table94.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V4					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	20.0-25.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V4	PROB(V4)	stat +	stat -	sys +	sys -
0.001	5.013	0.0319	-0.0319	0.1504	-0.4712
0.003	14.7829	0.0652	-0.0652	0.4435	-1.2122
0.005	23.6378	0.0909	-0.0909	0.7091	-1.6546
0.0069	31.2506	0.1055	-0.1055	0.9375	-1.8125
0.0089	37.0117	0.1086	-0.1086	1.1104	-1.7025
0.0109	41.4038	0.1094	-0.1094	1.2835	-1.6147
0.0129	43.1682	0.0881	-0.0881	1.4245	-1.5972
0.0149	42.9502	0.083	-0.083	1.5033	-1.5033
0.0169	41.5299	0.0854	-0.0854	1.5366	-1.3705
0.0188	39.0287	0.0964	-0.0964	1.5221	-1.2099
0.0208	35.2012	0.0996	-0.0996	1.4433	-1.1264
0.0228	30.8155	0.1035	-0.1035	1.3251	-1.1094
0.0248	26.4016	0.1003	-0.1003	1.1881	-1.0561
0.0268	21.7957	0.0921	-0.0921	1.0244	-0.959
0.0288	18.013	0.0867	-0.0867	0.8826	-0.8646
0.0307	13.6612	0.0724	-0.0724	0.724	-0.7924
0.0327	10.4163	0.0615	-0.0615	0.6146	-0.7708
0.0347	7.9541	0.0507	-0.0507	0.517	-0.7159
0.0367	5.6709	0.0466	-0.0466	0.4026	-0.6011
0.0387	4.1196	0.0439	-0.0439	0.3172	-0.5026
0.0407	2.7679	0.0326	-0.0326	0.2823	-0.4069
0.0426	1.9513	0.0337	-0.0337	0.2849	-0.3532
0.0446	1.3138	0.0278	-0.0278	0.2496	-0.2825

